,DEPARTURES_PERFORMED,PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,AIRCRAFT_TYPE,MONTH
18089,5,297,1385,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,13930,ORD,16257,YYC,673,3
18090,5,341,1385,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,16257,YYC,13930,ORD,673,3
18106,5,317,1064,07Q,Flair Airlines Ltd.,07Q,Flair Airlines Ltd.,10800,BUR,16229,YVR,838,3
18109,5,421,1181,07Q,Flair Airlines Ltd.,07Q,Flair Airlines Ltd.,14761,SFB,16149,YOW,838,3
18110,5,463,1476,07Q,Flair Airlines Ltd.,07Q,Flair Airlines Ltd.,14761,SFB,16085,YHZ,838,3
18156,5,801,1669,SY,Sun Country Airlines d/b/a MN Airlines,SY,Sun Country Airlines d/b/a MN Airlines,13594,MZT,13487,MSP,614,4
18158,5,273,1669,SY,Sun Country Airlines d/b/a MN Airlines,SY,Sun Country Airlines d/b/a MN Airlines,13487,MSP,13594,MZT,614,4
18256,5,603,5742,JL,Japan Air Lines Co. Ltd.,JL,Japan Air Lines Co. Ltd.,12892,LAX,12699,KIX,889,1
18349,5,581,2429,AC,Air Canada,AC,Air Canada,11618,EWR,16229,YVR,614,2
18372,5,663,3925,AA,American Airlines Inc.,AA,American Airlines Inc.,10517,BCN,14100,PHL,887,3
18374,5,959,4424,AA,American Airlines Inc.,AA,American Airlines Inc.,13156,MAD,13303,MIA,887,3
18376,5,531,3736,AA,American Airlines Inc.,AA,American Airlines Inc.,10292,AMS,14100,PHL,887,3
18412,5,1257,5271,BA,British Airways Plc,BA,British Airways Plc,12972,LHR,14107,PHX,637,3
18484,5,633,2230,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,10821,BWI,14832,SJD,612,4
18544,5,11,232,2LQ,Tropic Ocean Airways LLC,2LQ,Tropic Ocean Airways LLC,13709,NMC,11697,FLL,416,4
18602,5,453,1609,UA,United Air Lines Inc.,UA,United Air Lines Inc.,13930,ORD,11868,GCM,888,5
18615,5,817,5062,UA,United Air Lines Inc.,UA,United Air Lines Inc.,12266,IAH,11625,EZE,889,5
18621,5,1149,5879,UA,United Air Lines Inc.,UA,United Air Lines Inc.,14771,SFO,13518,MUC,627,5
18624,5,1567,3681,UA,United Air Lines Inc.,UA,United Air Lines Inc.,11618,EWR,10752,BRU,637,5
18665,5,1019,4614,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10397,ATL,11760,FRA,696,1
18672,5,287,1064,WO,SWOOP Inc.,WO,SWOOP Inc.,14112,PIE,16078,YHM,614,1
18674,5,405,1064,WO,SWOOP Inc.,WO,SWOOP Inc.,16078,YHM,14112,PIE,614,1
18710,5,663,4735,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,11915,GIG,10397,ATL,626,2
18714,5,683,1278,Y4,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),Y4,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),11874,GDL,13891,ONT,694,2
18717,5,503,1278,Y4,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),Y4,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),13891,ONT,11874,GDL,694,2
18739,5,249,2239,RV,Air Canada rouge LP,RV,Air Canada rouge LP,16217,YUL,12889,LAS,699,2
18746,5,673,1389,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10397,ATL,14739,SDQ,614,3
18747,5,1039,4886,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,14747,SEA,10292,AMS,687,3
18748,5,1173,3832,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10517,BCN,12478,JFK,687,3
18771,5,1117,5879,UA,United Air Lines Inc.,UA,United Air Lines Inc.,13518,MUC,14771,SFO,627,3
18779,5,713,6025,IB,Iberia Air Lines Of Spain,IB,Iberia Air Lines Of Spain,12892,LAX,10517,BCN,696,3
18787,5,609,2366,AV,Aerovias Nacl De Colombia,AV,Aerovias Nacl De Colombia,12264,IAD,10711,BOG,694,3
18857,5,1093,1922,AA,American Airlines Inc.,AA,American Airlines Inc.,12051,GYE,13303,MIA,887,4
18862,5,309,823,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,13594,MZT,12266,IAH,673,4
18868,5,639,4276,BY,Britannia Airways Ltd.,BY,Britannia Airways Ltd.,13360,MLB,11418,DSA,887,4
18887,5,951,4914,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,15566,VCE,10397,ATL,626,5
18888,5,849,3856,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,11118,CPH,12478,JFK,626,5
18911,5,357,1362,WO,SWOOP Inc.,WO,SWOOP Inc.,16232,YWG,10466,AZA,614,4
18922,5,269,1532,AC,Air Canada,AC,Air Canada,11259,DAL,16257,YYC,698,5
18935,5,977,4965,AA,American Airlines Inc.,AA,American Airlines Inc.,13156,MAD,11298,DFW,627,5
18938,5,605,1330,AA,American Airlines Inc.,AA,American Airlines Inc.,10312,ANU,13303,MIA,614,5
18947,5,735,1040,WS,Westjet,WS,Westjet,12889,LAS,16257,YYC,838,5
18966,5,57,3067,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",15167,TEB,12694,KIR,641,5
19049,5,533,3140,WS,Westjet,WS,Westjet,16257,YYC,12758,KOA,838,1
19100,5,435,235,GCA,"Global Crossing Airlines, Inc.",GCA,"Global Crossing Airlines, Inc.",13303,MIA,12073,HAV,694,1
19117,6,253,867,MQ,Envoy Air,MQ,Envoy Air,11298,DFW,16477,QRO,673,2
19225,6,911,4230,BY,Britannia Airways Ltd.,BY,Britannia Airways Ltd.,13360,MLB,10750,BRS,887,5
19229,6,339,2762,FI,Icelandair,FI,Icelandair,12651,KEF,10821,BWI,838,5
19233,6,1295,4267,LO,Polskie Linie Lotnicze,LO,Polskie Linie Lotnicze,12478,JFK,15718,WAW,887,5
19262,6,899,6370,TK,Turk Hava Yollari A.O.,TK,Turk Hava Yollari A.O.,12395,IST,12266,IAH,889,5
19263,6,1543,6370,TK,Turk Hava Yollari A.O.,TK,Turk Hava Yollari A.O.,12266,IAH,12395,IST,889,5
19267,6,867,5226,DE,Condor Flugdienst,DE,Condor Flugdienst,11760,FRA,14057,PDX,626,5
