DEPARTURES_PERFORMED,PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,AIRCRAFT_TYPE,MONTH
7,703,2799,FI,Icelandair,FI,Icelandair,12264,IAD,12651,KEF,838,5
7,749,2799,FI,Icelandair,FI,Icelandair,12651,KEF,12264,IAD,838,5
7,1015,2601,FI,Icelandair,FI,Icelandair,11618,EWR,12651,KEF,634,5
7,785,2601,FI,Icelandair,FI,Icelandair,12651,KEF,11618,EWR,634,5
7,1550,4800,BA,British Airways Plc,BA,British Airways Plc,14747,SEA,12972,LHR,837,5
7,1656,4686,LO,Polskie Linie Lotnicze,LO,Polskie Linie Lotnicze,13930,ORD,15718,WAW,887,5
7,1497,4740,LO,Polskie Linie Lotnicze,LO,Polskie Linie Lotnicze,12789,KRK,13930,ORD,889,5
7,0,1117,ABX,ABX Air Inc,ABX,ABX Air Inc,14838,SJO,13303,MIA,626,5
7,920,848,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,13303,MIA,14739,SDQ,699,5
7,835,848,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,14739,SDQ,13303,MIA,699,5
7,989,1434,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,11032,CUN,11042,CLE,699,5
7,816,524,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,13303,MIA,13180,MBJ,722,5
7,601,184,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,13303,MIA,13605,NAS,722,5
7,818,524,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,13180,MBJ,13303,MIA,722,5
7,691,1247,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,11032,CUN,11193,CVG,722,5
7,446,184,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,13605,NAS,13303,MIA,722,5
